# GREAT version 3.0.0,Species assembly: hg19,Association rule: Two nearest genes: 1000000 bp max extension, curated regulatory domains included,,,,,,,,,,,,,,,,,,
# Ontology, Term Name , Term ID , Binom Rank , Binom Raw P-Value , Binom Bonferroni P-Value ,  Binom FDR Q-Val  , Binom Fold Enrichment , Binom Expected , Binom Observed Region Hits , Binom Genome Fraction , Binom Region Set Coverage , Hyper Rank , Hyper Raw P-Value , Hyper Bonferroni P-Value ,  Hyper FDR Q-Val  , Hyper Fold Enrichment , Hyper Expected , Hyper Observed Gene Hits , Hyper Total Genes , Hyper Gene Set Coverage , Hyper Term Gene  Coverage
GO Biological Process,endocrine system development,GO:0035270,8,4.139137E-006,0.0432125903,0.0054015738,2.557406,11.73064,30,0.02346127,0.06,8,9.397117E-009,9.810590148E-005,1.2263237685E-005,4.047119,5.683055,23,128,0.02871411,0.1796875
GO Biological Process,prostate gland morphogenetic growth,GO:0060737,12,0.000006311,0.0658864328,0.0054905361,8.509313,0.9401464,8,0.001880293,0.016,170,0.0003372604,1,0.0207117563,16.89232,0.1775955,3,4,0.003745318,0.75
GO Biological Process,negative regulation of chondrocyte differentiation,GO:0032331,14,0.00000872,0.0910368,0.0065026286,6.060704,1.649973,10,0.003299947,0.02,142,0.0001627606,1,0.0119663427,8.662729,0.5771853,5,13,0.006242197,0.3846154
GO Biological Process,limb bud formation,GO:0060174,19,2.572457E-005,0.2685645108,0.0141349743,4.818504,2.282866,11,0.004565732,0.022,113,6.29405E-005,0.65709882,0.0058150338,10.23777,0.4883876,5,11,0.006242197,0.4545455
GO Biological Process,endocrine pancreas development,GO:0031018,22,2.842293E-005,0.2967353892,0.0134879722,3.419193,4.679466,16,0.009358932,0.032,159,0.0002662393,1,0.0174813729,4.136895,2.175545,9,49,0.01123596,0.1836735
GO Biological Process,glial cell fate commitment,GO:0021781,25,5.415544E-005,0.5653827936,0.0226153117,4.873607,2.051868,10,0.004103737,0.02,172,0.0003525998,1,0.0214019879,7.507699,0.665983,5,15,0.006242197,0.3333333
GO Biological Process,branch elongation of an epithelium,GO:0060602,27,5.818028E-005,0.6074021232,0.0224963749,4.831131,2.069909,10,0.004139818,0.02,157,0.0002439516,1,0.0162220045,8.043963,0.6215842,5,14,0.006242197,0.3571429
GO Biological Process,negative regulation of neuron differentiation,GO:0045665,32,8.908343E-005,0.9300310092,0.029063469,2.861654,6.290069,18,0.01258014,0.036,88,2.052606E-005,0.2142920664,0.0024351371,4.588038,2.397539,11,54,0.01373283,0.2037037
GO Biological Process,positive regulation of reproductive process,GO:2000243,35,0.0001068779,1,0.0318801507,3.556435,3.655346,13,0.007310691,0.026,73,1.116264E-005,0.1165379616,0.0015964104,6.930183,1.154371,8,26,0.009987516,0.3076923
GO Biological Process,axis elongation,GO:0003401,40,0.0001325056,1,0.0345839616,3.998019,2.751363,11,0.005502725,0.022,200,0.0006444508,1,0.0336403318,5.405543,1.109972,6,25,0.007490637,0.24
