logFC	AveExpr	t	P.Value	adj.P.Val	B	ES_Hom_126_d0_1	ES_Hom_126_d0_2	ES_Hom_96_d0_2	ES_Hom_120_d0_1	ES_Hom_120_d0_2	ES_WT_d0_1	ES_WT_d0_2
lincRNA:chr4:257555-258171_R	3.47359380393704	6.27551853923473	6.37831011124594	4.28830022533449e-08	0.000877000279083156	7.13262688264498	4.44359042495836	4.39574498584864	8.43314154072825	4.84552917577461	4.29730970609656	9.05879112468709	8.45452281654957
HOXC11	-2.86971510948182	2.29597912184086	-6.06503446306633	1.36711557210826e-07	0.0013979440282593	6.22675211157864	3.73295622751966	3.17912422274421	3.75696342855465	2.68834056261225	2.222104181319	1.89046275759422	-1.39809752745794
NAP1L6	2.39161719210038	8.28297556765248	5.8967171479958	2.54050629802761e-07	0.00173186314336542	5.7401447329295	7.83898366075464	8.00783255735375	8.57424165976782	6.94084703976966	6.63637693190171	10.2093183123784	9.7732288116414
lincRNA:chr5:82320042-82323480_R	2.69322428548649	4.25576641602207	5.61088844815863	7.22614616537754e-07	0.0036945478807034	4.91571359913564	2.41500871976528	3.68970077402382	3.98554414362549	3.72615878608499	3.61495639163006	7.93627442817741	4.42272166884744
LINC00113	1.96903802321504	5.18786768479786	5.17110904386452	3.52917534997336e-06	0.014435033016461	3.65745157172698	4.72406946044927	4.86356116708659	4.29337347151849	4.34689180236392	4.89853106083529	5.95960600779523	7.22904082353627
AB529232	2.38420673890895	4.95170965455043	4.8698534165603	1.0247712831514e-05	0.0317557744224753	2.80757854795226	4.51518792180116	3.82760608889406	4.33991182061652	4.22269491208877	4.44713790233887	8.66758953814028	4.64183939797337
EOMES	-2.20992770065415	5.38810051658404	-4.82845637998641	1.18460724142464e-05	0.0317557744224753	2.69181678078437	5.34970360692277	7.82044037648554	6.63203276499892	5.13078636470818	5.16457904216786	3.3133610780656	4.30580038273939
CHAC1	-1.91542930722152	12.0333020821814	-4.8148683315566	1.24221893980638e-05	0.0317557744224753	2.65387989853993	11.9760168682323	11.6456841197503	13.0654715602042	13.2048063423453	13.0108591021199	10.4386558992723	10.8916206833455
CH25H	-1.75543239405995	11.4417407398213	-4.67750716923346	2.00257770168523e-05	0.0455052406412941	2.27215548002843	11.9130599851097	11.8415225337836	12.6655680753176	11.6034176597839	11.6928960080542	9.95828195051335	10.4174389661864
COX7A1	2.09188346199598	8.51099877894057	4.63557443082853	2.31466793440626e-05	0.0473372739265424	2.15630720680784	7.89254322367464	7.93663349632319	9.84191459852974	6.98540688343056	6.9100907470362	10.1549174215334	9.85548508205629
